rank;born;country;category;time_total;time_1half;time_2half;time_0to5km;time_5to10km;time_10to15km;time_15to20km;time_20to25km;time_25to30km;time_30to35km;time_35to40km;time_40to42km
108;80;AUT;W-40;03:24:26;01:40:57;01:43:30;00:23:39;00:24:02;00:24:50;00:23:17;00:23:38;00:24:14;00:24:38;00:25:06;00:11:07
109;81;HUN;W-40;03:24:27;01:42:49;01:41:38;00:26:21;00:23:13;00:24:29;00:23:41;00:24:05;00:24:16;00:24:04;00:24:08;00:10:15
110;78;BEL;W-45;03:24:28;01:40:26;01:44:02;00:23:22;00:23:44;00:24:24;00:23:47;00:23:59;00:24:06;00:24:50;00:25:31;00:10:51
111;81;AUT;W-40;03:24:55;01:40:18;01:44:38;00:23:51;00:23:41;00:24:11;00:23:30;00:23:44;00:24:26;00:24:53;00:25:40;00:11:02
112;84;ITA;W-35;03:25:35;01:40:16;01:45:20;00:23:43;00:23:50;00:24:16;00:23:16;00:23:44;00:24:09;00:24:50;00:25:55;00:11:57
113;72;ITA;W-50;03:25:48;01:41:18;01:44:31;00:23:47;00:23:56;00:24:36;00:23:45;00:24:04;00:24:25;00:24:49;00:25:17;00:11:12
114;76;GER;W-45;03:25:49;01:40:52;01:44:57;00:23:21;00:23:40;00:24:28;00:24:12;00:24:06;00:24:20;00:25:11;00:25:36;00:10:57
115;73;AUT;W-50;03:25:57;01:40:10;01:45:48;00:23:50;00:23:28;00:24:22;00:23:21;00:24:03;00:24:25;00:25:19;00:26:03;00:11:08
116;84;GER;W-35;03:25:58;01:39:40;01:46:18;00:23:20;00:23:18;00:24:15;00:23:37;00:23:52;00:24:16;00:24:59;00:26:29;00:11:56
117;94;SUI;W-H;03:26:11;01:44:27;01:41:45;00:25:21;00:24:47;00:25:19;00:23:49;00:23:58;00:24:18;00:23:58;00:24:02;00:10:42
118;77;CZE;W-45;03:26:32;01:39:14;01:47:19;00:22:31;00:22:47;00:24:25;00:24:10;00:24:11;00:25:12;00:26:22;00:25:53;00:11:05
119;81;GER;W-40;03:26:46;01:38:49;01:47:57;00:22:23;00:23:05;00:24:18;00:23:49;00:24:12;00:25:18;00:26:28;00:26:29;00:10:48
120;93;GER;W-30;03:26:51;01:43:16;01:43:35;00:24:37;00:24:09;00:25:11;00:24:04;00:24:02;00:24:46;00:24:49;00:24:53;00:10:23
121;94;USA;W-H;03:26:52;01:37:35;01:49:18;00:22:54;00:22:28;00:23:40;00:23:22;00:23:55;00:27:31;00:26:58;00:25:44;00:10:23
